claim_amount_k,claim_delay_days,policy_tenure_months,prior_claims,vehicle_age_years,premium_delay_days,accident_severity,repair_shop_type,police_report,night_accident,province,fraud_label
35.98,4,25,0,6,2,moderate,network,yes,no,west,legit
21.36,4,39,3,1,3,minor,network,yes,yes,east,legit
24.66,5,22,2,12,4,minor,network,yes,no,south,fraud
9.09,5,81,0,10,5,minor,network,yes,no,east,legit
0.8,9,50,1,5,5,major,outside,no,no,south,legit
16.33,10,14,2,2,4,minor,network,no,no,west,fraud
7.94,3,20,2,11,2,minor,network,no,yes,south,fraud
35.47,3,57,0,8,2,minor,outside,no,yes,west,fraud
14.17,4,30,2,2,4,moderate,network,yes,no,south,legit
28.64,9,100,0,15,2,moderate,network,yes,yes,east,fraud
33.22,8,35,2,2,3,major,outside,no,no,east,legit
16.35,6,88,0,3,6,minor,network,yes,yes,east,legit
15.92,5,80,3,5,3,minor,outside,yes,no,south,fraud
9.22,7,18,1,4,3,minor,network,yes,yes,west,legit
20.61,7,105,1,14,3,minor,network,no,no,north,fraud
10.72,3,106,1,0,2,minor,outside,yes,no,west,legit
17.77,6,40,0,9,5,minor,network,yes,no,north,legit
23.39,7,39,1,14,1,minor,network,no,no,east,fraud
8.46,8,34,2,4,2,minor,network,yes,yes,south,legit
25.25,6,15,1,0,2,minor,network,yes,no,south,legit
21.88,9,13,3,11,5,minor,outside,no,no,east,legit
17.54,11,77,2,4,3,minor,outside,yes,no,south,fraud
18.02,5,112,0,3,1,moderate,network,no,yes,south,legit
24.52,7,116,0,0,1,major,network,no,yes,west,legit
19.51,9,99,1,10,2,minor,network,no,no,east,legit
17.2,10,63,0,4,7,minor,outside,no,yes,east,fraud
17.35,6,13,0,14,5,moderate,outside,yes,no,south,fraud
19.17,7,62,3,16,4,moderate,network,yes,no,north,legit
26.98,8,28,0,5,7,major,network,yes,no,north,legit
19.1,6,53,0,9,4,moderate,network,yes,no,west,legit
12.7,8,94,0,6,5,minor,network,yes,no,west,legit
0.8,5,14,2,9,5,minor,network,no,no,west,legit
15.3,5,19,0,2,2,minor,outside,no,no,north,legit
15.41,8,27,0,13,2,major,network,yes,no,south,legit
16.04,9,67,0,2,1,major,network,yes,no,west,legit
26.71,10,103,4,15,1,minor,outside,yes,no,north,legit
14.33,7,109,1,11,5,minor,outside,yes,no,east,legit
30.24,10,57,0,3,6,minor,network,yes,no,west,fraud
24.64,4,41,0,13,2,moderate,network,yes,no,north,legit
22.8,4,31,0,1,3,minor,network,yes,yes,east,fraud
37.81,8,15,1,14,5,moderate,network,yes,yes,west,fraud
35.96,7,94,0,15,2,moderate,outside,yes,yes,north,legit
31.39,7,33,0,12,4,minor,outside,yes,no,north,fraud
11.63,10,11,1,12,2,minor,outside,no,no,west,legit
16.58,3,46,1,4,1,minor,network,yes,no,east,legit
9.15,6,96,1,4,4,moderate,network,yes,no,north,legit
14.85,6,41,0,5,5,minor,network,yes,no,north,legit
18.98,7,51,1,1,2,major,network,yes,no,east,legit
12.65,12,112,0,8,4,moderate,network,yes,no,west,legit
21.45,5,54,2,12,2,minor,network,yes,yes,west,legit
23.02,8,82,2,15,2,minor,network,no,no,south,fraud
26.58,7,13,2,3,0,major,network,yes,yes,south,legit
19.68,3,22,0,13,2,major,outside,yes,no,south,legit
19.04,9,24,0,0,1,major,network,no,no,south,legit
17.16,5,21,2,17,0,minor,network,yes,yes,east,fraud
9.24,5,91,1,3,2,major,outside,yes,no,south,fraud
15.94,6,34,2,15,7,minor,outside,yes,yes,east,fraud
15.16,8,9,1,17,1,major,network,yes,no,west,legit
14.43,5,88,0,6,2,minor,network,no,no,west,legit
13.23,4,113,3,15,1,minor,network,yes,yes,north,legit
15.49,6,43,1,12,1,moderate,network,yes,no,east,legit
28.1,2,81,0,7,2,moderate,network,no,no,north,legit
19.88,8,53,0,8,3,moderate,outside,yes,yes,west,fraud
18.31,7,35,0,0,2,major,network,yes,no,east,legit
12.62,5,116,0,7,3,moderate,network,yes,no,south,legit
18.23,9,8,0,15,2,moderate,outside,yes,yes,west,fraud
12.41,10,31,0,4,4,major,network,yes,no,north,legit
14.32,6,88,1,1,4,moderate,outside,yes,no,north,legit
19.31,7,72,0,3,2,major,network,yes,no,west,legit
14.71,7,58,0,7,6,minor,network,yes,no,south,legit
5.57,5,48,1,4,3,moderate,network,no,no,east,legit
20.31,4,79,1,11,5,moderate,network,no,no,west,legit
8.68,4,53,0,2,4,moderate,network,yes,no,east,legit
18.02,8,48,0,4,2,moderate,network,yes,yes,west,legit
14.24,4,79,0,5,2,minor,network,yes,no,north,legit
13.97,6,47,1,5,4,major,outside,yes,no,south,legit
2.02,7,12,0,12,4,minor,network,yes,no,west,legit
17.1,5,66,0,2,5,moderate,outside,yes,no,north,legit
29.5,11,68,1,12,1,major,network,yes,no,south,legit
2.4,6,1,3,4,1,minor,network,yes,yes,east,legit
14.97,7,41,1,6,2,moderate,outside,no,yes,south,legit
24.52,5,26,0,9,3,moderate,network,yes,no,west,legit
28.83,5,54,3,12,4,minor,outside,yes,no,south,legit
23.28,7,67,1,7,4,minor,outside,no,no,north,fraud
15.04,9,29,1,14,3,moderate,network,yes,no,south,fraud
20.34,7,23,1,0,3,moderate,outside,yes,no,north,fraud
9.94,11,9,3,3,3,minor,network,yes,no,north,legit
12.11,6,66,0,8,4,moderate,network,yes,no,east,legit
22.12,8,69,1,17,2,moderate,network,yes,no,south,legit
16.56,6,81,1,14,7,moderate,network,no,yes,south,legit
12.85,6,25,1,10,3,minor,network,yes,no,east,legit
27.51,11,17,0,4,3,moderate,network,no,no,south,fraud
18.2,9,87,1,2,0,major,outside,yes,no,south,legit
19.38,3,54,1,8,3,moderate,network,yes,no,south,legit
29.36,3,94,1,16,6,moderate,network,yes,no,north,fraud
36.66,7,80,0,6,3,major,network,yes,no,east,legit
16.01,6,85,1,1,1,moderate,network,yes,no,west,legit
29.64,5,44,2,9,2,moderate,network,yes,no,west,fraud
0.8,3,2,0,1,1,major,outside,no,yes,east,legit
16.05,6,10,1,8,8,moderate,outside,yes,no,south,legit
25.45,8,106,0,14,1,moderate,network,no,no,north,legit
17.26,9,31,2,12,2,moderate,network,yes,no,south,legit
7.64,13,16,1,4,4,moderate,network,yes,no,west,legit
22.3,8,82,0,6,3,minor,outside,yes,yes,west,legit
22.12,6,3,0,2,4,moderate,outside,yes,yes,east,legit
7.49,7,64,1,17,3,minor,network,yes,no,east,legit
28.68,8,106,2,14,4,moderate,network,yes,no,east,legit
20.93,7,11,3,6,0,moderate,network,yes,yes,south,legit
28.56,5,84,1,6,2,minor,network,no,no,east,legit
6.91,9,16,0,0,5,minor,network,yes,no,north,legit
25.68,3,67,2,6,4,major,outside,no,yes,west,fraud
20.81,10,28,0,15,3,minor,network,yes,no,north,legit
21.7,10,73,0,9,1,minor,network,yes,yes,west,fraud
31.52,6,21,0,8,6,major,network,no,no,east,legit
17.33,4,95,1,8,4,minor,outside,yes,no,east,legit
27.88,9,34,1,15,4,minor,network,yes,yes,north,fraud
12.04,7,80,2,15,7,minor,network,yes,no,north,legit
28.93,5,51,0,17,1,moderate,network,yes,yes,east,legit
14.63,3,102,0,5,2,moderate,network,yes,no,south,legit
21.99,5,28,1,4,3,moderate,network,yes,yes,north,legit
15.13,5,102,0,2,0,major,outside,no,yes,south,legit
19.0,3,84,1,13,4,minor,network,yes,no,north,legit
18.88,1,94,0,3,3,minor,network,yes,no,west,legit
22.95,11,79,2,7,3,moderate,network,yes,yes,south,legit
14.47,8,88,2,14,4,moderate,network,yes,no,south,fraud
27.93,5,27,0,2,3,minor,network,yes,no,west,legit
22.26,3,106,0,14,7,minor,outside,yes,yes,south,fraud
16.71,7,61,3,9,2,major,outside,yes,no,west,legit
26.42,4,22,2,3,3,moderate,network,yes,no,west,legit
23.29,9,72,1,7,3,major,network,yes,no,south,legit
10.16,6,100,1,4,2,minor,outside,yes,no,north,legit
0.8,7,3,1,13,3,moderate,outside,yes,yes,south,legit
21.46,8,76,1,6,1,moderate,network,no,yes,west,legit
8.73,8,32,0,13,4,minor,network,yes,no,south,legit
6.56,5,90,2,0,4,minor,network,yes,yes,east,legit
35.38,6,53,1,5,4,minor,outside,yes,yes,south,fraud
16.18,11,21,1,9,2,moderate,outside,yes,no,west,legit
17.73,8,23,0,1,1,minor,outside,no,no,west,legit
24.43,1,66,0,5,2,moderate,outside,yes,yes,west,legit
29.4,5,57,2,13,4,moderate,network,yes,no,east,fraud
16.77,10,15,2,7,4,major,network,yes,no,south,fraud
17.1,3,98,2,1,6,minor,outside,yes,no,south,legit
16.47,6,27,1,2,1,moderate,network,no,no,west,legit
32.22,4,5,0,8,2,moderate,network,yes,yes,north,fraud
18.42,8,110,1,9,4,minor,network,yes,yes,west,legit
12.8,7,67,0,1,5,minor,network,yes,no,south,legit
18.8,8,120,0,10,6,minor,network,yes,yes,east,legit
21.4,6,2,0,6,4,moderate,network,yes,yes,east,legit
10.12,4,43,0,2,1,minor,network,yes,no,east,legit
26.85,5,96,1,9,6,moderate,network,yes,no,south,legit
15.71,4,25,0,9,3,minor,network,yes,yes,north,legit
23.46,4,9,0,8,2,minor,network,yes,no,west,legit
13.8,8,59,0,6,2,moderate,network,no,yes,north,legit
26.45,9,58,1,9,3,minor,outside,yes,no,west,legit
15.31,4,61,1,13,2,moderate,network,no,yes,east,legit
30.66,3,5,0,7,3,minor,network,yes,no,north,fraud
17.79,5,18,4,0,3,major,network,yes,yes,north,legit
17.37,8,92,1,16,4,moderate,network,yes,no,west,legit
6.39,7,96,1,13,8,minor,network,yes,yes,east,legit
15.54,7,96,0,4,3,moderate,network,no,no,west,legit
13.65,4,46,1,5,2,moderate,network,yes,no,north,legit
28.5,4,8,0,10,4,moderate,network,yes,no,west,legit
19.15,4,83,0,1,4,major,outside,no,no,west,legit
8.43,3,46,0,8,2,minor,network,yes,no,south,fraud
30.1,3,56,2,5,2,minor,outside,yes,no,west,fraud
10.9,6,8,0,13,2,minor,outside,no,no,south,legit
12.59,6,91,0,4,2,minor,outside,yes,yes,south,legit
20.15,7,47,1,4,2,moderate,network,yes,no,west,legit
17.28,8,51,1,0,4,moderate,outside,yes,yes,west,legit
12.02,7,48,1,5,2,minor,network,yes,yes,north,fraud
16.31,6,96,0,8,1,minor,outside,yes,yes,east,legit
23.13,6,110,1,11,2,moderate,outside,yes,no,north,legit
31.16,2,96,0,7,0,minor,outside,yes,no,north,legit
25.55,8,8,3,3,8,major,outside,yes,no,south,fraud
13.95,8,115,1,7,1,moderate,network,yes,no,south,legit
27.65,5,3,0,12,5,minor,network,yes,no,south,fraud
22.48,6,4,1,15,3,moderate,network,yes,no,east,legit
25.28,6,53,1,1,4,moderate,network,yes,no,south,legit
14.12,3,16,0,12,2,minor,network,yes,no,north,legit
19.07,12,11,1,11,3,minor,network,yes,no,east,legit
13.5,12,45,3,0,0,minor,network,yes,no,east,legit
12.85,11,99,1,15,4,minor,outside,yes,no,west,fraud
24.61,7,30,1,4,4,major,network,yes,no,north,legit
23.58,6,53,2,13,1,minor,network,yes,yes,south,fraud
33.82,14,76,1,10,1,minor,outside,yes,yes,south,legit
14.97,9,15,1,16,5,moderate,network,yes,yes,west,legit
23.84,7,4,0,11,2,moderate,outside,no,no,north,fraud
7.31,5,103,0,10,3,minor,network,yes,yes,west,legit
14.68,5,84,0,17,1,minor,network,yes,no,south,legit
26.58,9,67,1,7,0,moderate,network,yes,no,west,legit
33.5,8,106,0,0,1,minor,outside,yes,no,north,legit
30.79,6,15,0,8,4,moderate,outside,yes,no,south,fraud
24.71,4,4,0,5,2,minor,network,yes,no,west,legit
31.33,7,60,1,5,3,moderate,outside,yes,no,west,legit
13.09,5,68,2,1,2,major,network,yes,no,north,fraud
19.55,7,85,1,15,5,minor,network,yes,no,east,legit
29.54,6,105,1,10,4,minor,network,yes,no,east,legit
20.86,7,110,2,7,2,moderate,network,yes,no,west,legit
17.27,7,113,1,12,0,moderate,network,yes,no,north,legit
14.35,10,5,1,4,7,major,network,no,no,east,fraud
29.51,2,88,0,10,5,moderate,outside,yes,yes,south,legit
21.45,4,117,0,9,2,minor,network,no,no,north,legit
0.8,7,119,1,8,2,moderate,network,yes,no,north,legit
12.25,4,81,1,15,3,minor,outside,yes,yes,west,fraud
26.28,7,16,0,11,0,minor,network,yes,no,west,legit
5.26,9,83,2,5,5,major,outside,no,no,north,fraud
14.49,6,36,2,8,3,minor,network,no,no,north,fraud
17.27,9,29,1,6,3,minor,outside,yes,no,south,legit
14.96,5,29,1,7,5,minor,network,no,no,west,legit
0.8,8,118,0,16,4,minor,network,yes,no,east,legit
21.56,7,111,0,7,1,moderate,network,yes,no,north,legit
29.78,11,12,1,10,3,minor,network,yes,no,east,fraud
15.69,5,1,0,4,2,minor,network,yes,no,east,legit
6.62,9,51,3,16,2,moderate,network,yes,no,north,legit
15.94,5,77,0,0,2,moderate,outside,yes,yes,north,legit
35.01,4,76,0,3,3,minor,network,no,no,west,legit
18.89,5,39,3,8,4,minor,outside,yes,no,south,fraud
7.77,9,118,1,9,4,moderate,network,yes,yes,south,legit
21.08,4,62,1,11,4,minor,outside,yes,no,east,legit
16.79,6,37,1,12,1,minor,network,no,yes,south,fraud
17.58,5,93,0,2,2,moderate,network,yes,yes,south,legit
11.1,2,11,2,0,2,moderate,outside,yes,no,north,legit
6.96,3,19,1,5,1,major,network,yes,no,south,legit
28.89,8,102,0,9,0,moderate,outside,yes,yes,north,fraud
34.71,6,16,2,17,3,minor,network,no,no,west,fraud
25.81,4,78,1,13,3,minor,network,yes,no,east,legit
29.83,7,96,0,12,2,minor,network,yes,no,south,legit
24.93,7,65,1,9,2,moderate,network,no,yes,north,fraud
15.93,6,86,0,6,4,moderate,network,yes,no,north,legit
13.55,7,34,1,4,4,moderate,outside,no,no,west,fraud
26.1,7,22,0,16,3,minor,network,yes,yes,south,legit
15.48,3,20,2,4,1,moderate,outside,yes,no,east,legit
30.55,10,100,1,4,5,moderate,network,yes,yes,north,fraud
6.37,7,104,1,14,5,moderate,network,yes,no,north,fraud
21.69,5,15,1,0,4,moderate,outside,yes,yes,east,fraud
20.52,9,59,2,5,3,minor,network,yes,no,east,legit
18.91,9,2,1,6,1,moderate,network,yes,no,east,legit
17.18,10,12,1,2,2,minor,outside,no,no,south,fraud
21.33,5,43,1,7,5,minor,outside,yes,no,south,fraud
9.46,8,33,0,8,6,moderate,outside,yes,no,west,legit
15.99,10,39,1,7,1,minor,network,no,yes,south,fraud
16.48,10,13,1,7,3,moderate,network,yes,yes,west,legit
12.62,3,46,1,14,6,major,outside,yes,no,south,legit
25.27,10,32,1,16,6,minor,outside,yes,no,south,fraud
23.63,6,32,1,0,3,moderate,network,yes,yes,west,legit
21.32,12,64,0,14,4,major,outside,yes,no,north,legit
30.06,7,39,1,16,3,moderate,outside,yes,no,east,legit
20.74,7,24,1,12,1,minor,network,no,no,west,fraud
14.09,6,89,0,7,5,moderate,outside,yes,no,west,legit
13.12,9,114,1,4,5,moderate,network,no,no,west,legit
20.77,7,71,1,0,3,moderate,network,yes,no,west,legit
26.67,8,117,1,5,5,moderate,outside,yes,no,north,legit
3.65,6,83,1,2,2,major,outside,yes,no,west,legit
29.02,6,32,1,4,3,minor,network,yes,no,south,fraud
15.43,6,41,1,5,4,minor,network,yes,no,east,fraud
23.45,8,119,1,13,1,moderate,network,yes,no,west,legit
34.56,6,81,2,16,4,minor,network,yes,no,north,legit
19.32,3,48,0,1,3,moderate,network,yes,no,north,legit
17.28,7,46,0,17,5,moderate,outside,yes,no,west,legit
16.42,9,43,1,6,6,moderate,network,yes,yes,north,legit
27.11,5,85,0,2,5,moderate,network,yes,no,east,legit
12.56,7,49,0,0,3,minor,network,yes,no,north,legit
11.86,6,40,1,8,1,minor,network,yes,no,south,legit
14.58,4,94,0,12,7,moderate,network,no,no,south,fraud
4.17,4,89,1,2,3,moderate,network,yes,yes,east,legit
21.7,6,25,0,3,4,moderate,outside,yes,yes,west,legit
14.51,8,113,1,2,2,minor,network,yes,no,east,legit
13.23,5,86,2,14,3,minor,network,yes,no,north,legit
18.31,4,112,0,2,5,minor,network,yes,no,east,legit
10.48,5,25,1,5,4,major,network,yes,yes,south,legit
18.58,5,28,0,11,6,moderate,network,yes,no,north,legit
16.89,5,80,0,1,4,moderate,network,yes,no,west,legit
30.41,6,40,0,3,4,major,network,yes,yes,north,fraud
13.94,7,106,1,17,1,major,network,yes,no,south,legit
22.06,4,23,0,12,5,minor,outside,yes,no,south,legit
19.1,11,79,0,3,0,minor,outside,yes,no,west,legit
26.37,12,46,0,12,2,minor,network,no,yes,west,fraud
10.54,11,42,0,3,2,major,network,yes,no,south,legit
11.18,8,81,0,2,5,major,network,yes,no,north,legit
21.42,4,102,1,4,1,minor,network,no,yes,west,legit
13.65,7,99,0,11,6,moderate,outside,yes,yes,north,legit
19.35,4,18,2,8,4,minor,network,yes,yes,north,legit
25.17,7,20,0,15,1,moderate,outside,no,yes,south,fraud
24.22,5,56,0,2,2,moderate,network,yes,no,west,legit
9.69,4,80,0,16,3,minor,network,yes,no,north,legit
19.94,5,41,0,16,3,major,network,no,no,west,fraud
12.72,8,25,2,15,6,moderate,network,no,yes,east,fraud
11.56,9,3,1,15,4,minor,outside,no,no,north,fraud
22.6,8,20,0,12,4,moderate,network,yes,no,east,legit
8.5,5,18,2,10,6,moderate,network,yes,no,south,fraud
4.31,9,57,1,9,1,minor,network,yes,no,north,legit
27.48,1,37,0,9,2,minor,outside,yes,no,north,legit
20.16,3,41,0,9,4,minor,network,no,no,north,legit
9.41,7,18,1,11,4,minor,network,yes,no,south,legit
5.82,4,59,0,13,4,moderate,network,yes,no,north,legit
20.08,5,73,0,6,2,minor,outside,yes,no,west,legit
0.8,10,89,1,16,3,minor,outside,yes,yes,north,legit
9.92,5,6,0,15,0,minor,network,yes,no,east,legit
23.32,6,37,0,3,8,minor,outside,yes,yes,east,fraud
9.88,6,93,1,3,0,major,network,yes,no,north,legit
20.63,12,76,0,11,2,minor,network,no,no,east,legit
34.64,6,41,0,15,4,moderate,network,yes,no,west,fraud
26.99,6,113,0,8,2,minor,outside,yes,no,west,legit
28.91,7,82,1,10,4,moderate,outside,yes,yes,south,legit
0.8,5,85,1,14,4,minor,network,yes,yes,east,legit
18.31,6,46,0,7,4,major,network,yes,no,south,legit
15.1,6,109,0,2,4,moderate,outside,no,no,north,fraud
18.77,5,39,0,6,2,moderate,network,yes,yes,south,legit
27.05,12,61,1,4,3,moderate,outside,yes,no,north,legit
34.14,16,74,2,14,4,minor,outside,yes,no,south,fraud
20.3,8,84,0,8,3,minor,network,yes,yes,west,legit
13.82,7,113,0,0,4,major,outside,yes,no,south,legit
10.4,5,86,0,6,5,minor,outside,yes,no,west,legit
7.05,7,19,1,5,0,minor,network,yes,no,west,legit
15.79,7,95,0,6,1,moderate,outside,yes,yes,south,legit
11.26,4,43,2,8,3,minor,network,yes,no,west,legit
5.45,7,28,2,0,3,minor,network,yes,no,west,legit
23.42,9,115,0,13,3,major,network,yes,no,north,legit
5.68,3,28,1,3,3,major,network,no,yes,south,legit
28.74,7,96,2,7,3,minor,network,no,yes,north,legit
27.19,8,108,0,7,2,minor,network,yes,no,east,fraud
17.16,6,83,0,4,0,minor,outside,yes,no,south,legit
19.52,6,105,2,12,2,moderate,network,yes,no,west,legit
20.06,7,100,0,5,4,moderate,outside,yes,no,south,legit
17.36,4,119,0,2,3,minor,network,yes,yes,south,legit
31.98,5,92,1,17,4,minor,outside,yes,yes,south,fraud
30.21,8,51,1,9,0,major,network,yes,no,east,legit
0.8,4,111,0,8,3,major,network,yes,no,west,legit
13.46,9,110,1,3,3,moderate,outside,yes,no,north,legit
7.3,9,21,0,9,2,minor,outside,yes,no,north,legit
31.42,3,20,1,16,2,major,network,yes,yes,north,legit
0.8,8,105,1,13,5,moderate,outside,yes,no,east,legit
20.04,5,106,1,13,4,minor,network,yes,no,south,legit
21.73,4,108,0,9,0,minor,network,yes,no,north,legit
16.43,8,79,0,14,3,moderate,outside,yes,no,west,fraud
19.47,6,3,2,9,1,minor,outside,yes,yes,north,legit
8.31,4,88,1,14,3,moderate,outside,no,yes,south,fraud
23.9,5,11,0,13,2,minor,network,yes,no,east,legit
23.19,7,5,0,3,4,moderate,outside,yes,no,west,fraud
21.27,3,19,0,2,6,moderate,network,yes,no,north,legit
20.88,6,10,1,0,4,minor,network,yes,no,west,legit
12.69,4,61,2,17,3,moderate,network,yes,no,west,legit
26.94,7,103,1,10,1,major,network,yes,no,east,legit
20.84,14,11,1,7,3,moderate,network,yes,no,west,legit
7.42,3,34,0,13,2,moderate,outside,yes,yes,east,legit
0.8,12,5,0,5,8,moderate,network,yes,no,west,legit
20.67,6,108,0,14,4,minor,network,yes,yes,south,legit
10.89,7,16,0,2,3,moderate,network,no,no,east,legit
7.49,5,31,2,15,4,major,outside,yes,no,north,legit
16.29,7,33,0,7,2,major,network,yes,yes,east,legit
24.66,4,87,1,12,4,moderate,outside,yes,no,north,legit
3.29,4,59,1,6,5,minor,outside,yes,no,west,legit
18.01,6,65,0,1,3,minor,outside,yes,yes,south,fraud
10.9,5,74,1,5,4,minor,network,no,no,north,legit
5.77,11,5,2,5,6,minor,network,no,no,west,fraud
13.84,2,43,0,15,0,major,outside,yes,no,east,legit
0.8,4,94,1,16,0,minor,outside,yes,no,east,legit
15.86,9,3,0,4,4,major,outside,yes,yes,west,fraud
19.71,4,92,0,9,2,minor,network,no,no,south,legit
34.58,5,48,2,0,5,moderate,network,no,no,north,fraud
11.11,6,13,1,8,3,minor,network,yes,no,west,legit
19.66,9,12,0,1,2,moderate,outside,no,no,south,legit
24.6,5,55,1,0,3,moderate,outside,yes,no,south,legit
18.47,8,80,1,2,0,moderate,outside,yes,no,north,legit
8.48,8,34,0,7,4,minor,outside,no,no,east,legit
16.6,10,101,1,2,4,moderate,outside,yes,no,west,legit
16.65,5,85,2,2,8,moderate,network,yes,no,east,fraud
0.8,5,114,2,14,5,moderate,outside,no,no,west,legit
24.08,10,75,2,6,2,major,network,yes,no,east,legit
25.68,8,65,1,5,4,major,outside,yes,no,north,legit
25.37,8,112,0,11,4,minor,outside,yes,no,south,legit
10.47,8,84,2,14,4,minor,network,yes,no,north,fraud
29.36,4,102,0,1,2,moderate,outside,yes,no,south,legit
16.57,6,57,0,3,4,moderate,outside,yes,yes,east,legit
6.22,7,92,4,10,1,moderate,outside,yes,no,west,legit
20.68,4,1,1,10,2,minor,network,yes,no,north,legit
15.11,4,54,0,6,2,moderate,outside,yes,yes,north,legit
20.66,4,4,0,12,4,minor,network,no,no,south,legit
36.84,5,62,1,0,1,minor,network,yes,no,south,legit
8.97,7,64,0,17,0,minor,network,yes,no,west,fraud
27.07,6,107,0,5,4,minor,network,no,yes,west,legit
26.53,7,42,2,0,2,major,outside,yes,no,west,legit
28.07,10,93,0,14,6,minor,network,yes,no,east,fraud
22.18,6,118,1,16,4,moderate,network,no,no,east,legit
7.16,4,78,1,4,2,moderate,network,yes,no,north,legit
5.59,10,3,0,4,5,major,network,no,no,north,fraud
3.77,10,17,0,0,6,minor,network,yes,yes,west,legit
2.83,4,27,2,4,2,major,outside,no,no,south,legit
11.33,4,63,1,2,4,minor,outside,yes,no,east,legit
16.03,6,106,0,9,1,minor,network,yes,no,west,legit
19.51,6,107,1,13,0,minor,outside,yes,yes,north,legit
22.66,8,67,1,13,3,moderate,outside,yes,no,east,legit
17.67,8,13,0,3,4,moderate,network,yes,yes,east,legit
29.39,8,45,0,17,5,minor,outside,yes,yes,north,fraud
19.51,10,55,0,0,4,moderate,network,no,yes,east,fraud
3.55,7,120,1,10,5,major,network,yes,no,west,legit
18.69,7,10,0,10,3,minor,network,yes,no,south,legit
12.78,6,57,0,1,3,major,network,yes,yes,west,legit
13.53,6,73,2,12,3,moderate,outside,yes,no,south,legit
18.48,7,100,0,9,5,minor,network,yes,no,west,legit
28.26,6,78,0,6,3,minor,network,no,yes,west,legit
18.04,7,57,0,10,2,minor,network,yes,no,north,legit
17.69,7,95,0,4,3,moderate,network,yes,no,east,legit
16.96,8,37,0,17,4,moderate,network,yes,no,east,legit
21.95,6,120,2,3,8,moderate,network,no,no,east,fraud
16.53,2,48,0,17,3,moderate,outside,no,yes,south,legit
5.15,4,35,1,0,3,major,network,yes,no,east,legit
8.39,3,54,0,3,1,minor,network,no,no,east,legit
25.33,8,17,0,3,1,major,network,no,no,east,legit
24.0,6,44,3,11,3,minor,outside,no,no,east,fraud
23.57,9,48,1,10,4,moderate,network,yes,yes,east,legit
26.61,6,94,2,4,4,minor,outside,yes,yes,north,legit
15.19,7,14,0,10,2,moderate,network,no,no,west,fraud
21.14,7,76,0,4,1,major,network,yes,no,north,legit
22.32,4,89,1,10,3,minor,outside,yes,yes,south,fraud
5.9,6,25,0,2,7,minor,network,yes,no,south,legit
34.67,8,30,1,13,4,minor,network,no,yes,north,fraud
27.61,7,35,2,16,10,moderate,network,yes,no,south,legit
29.7,7,27,0,14,6,moderate,outside,no,no,north,fraud
18.66,9,56,0,1,1,moderate,network,yes,no,north,legit
12.86,4,55,2,17,2,major,network,yes,no,east,fraud
13.24,4,91,2,11,3,minor,network,yes,no,south,legit
22.27,8,106,2,16,3,moderate,outside,yes,yes,north,legit
5.94,7,63,0,15,3,major,network,yes,no,north,legit
25.66,6,22,1,16,2,minor,network,yes,no,south,legit
22.29,10,68,1,1,2,minor,outside,no,no,north,legit
23.67,7,7,0,15,5,minor,network,no,yes,north,legit
18.66,9,28,3,1,1,major,network,yes,no,north,legit
16.81,4,74,0,0,1,minor,network,yes,yes,south,legit
7.66,6,27,1,13,3,moderate,network,yes,no,west,legit
2.61,8,35,3,0,4,major,outside,yes,no,east,legit
28.14,7,18,1,1,4,minor,network,yes,yes,north,legit
10.42,6,112,1,10,2,minor,network,yes,yes,north,legit
5.3,5,60,0,0,3,moderate,network,no,yes,north,legit
25.34,8,90,1,7,5,moderate,network,yes,no,south,legit
22.27,5,67,1,0,4,moderate,outside,yes,no,west,legit
13.78,5,6,0,13,4,minor,outside,yes,yes,west,legit
13.01,5,44,0,0,2,moderate,network,yes,no,west,legit
21.73,5,87,0,0,3,minor,network,yes,yes,north,legit
21.94,6,27,0,2,3,minor,network,yes,no,east,legit
17.72,11,7,0,15,5,minor,outside,yes,yes,east,fraud
20.27,6,25,2,0,2,moderate,network,no,yes,east,legit
28.62,5,97,2,0,3,minor,network,yes,no,north,legit
22.04,8,12,0,2,2,minor,outside,yes,no,west,fraud
6.74,10,100,0,1,2,minor,network,yes,no,west,legit
15.6,7,76,2,0,9,minor,network,yes,no,north,legit
25.63,10,70,0,3,6,major,outside,yes,no,west,fraud
19.6,4,31,2,8,4,moderate,network,yes,no,south,legit
32.04,4,82,1,7,3,moderate,network,yes,no,north,legit
6.17,4,78,1,4,2,minor,network,no,yes,west,legit
16.76,4,74,0,13,3,minor,outside,no,no,north,legit
17.77,11,119,2,9,0,minor,outside,yes,no,north,fraud
23.04,6,113,1,1,2,moderate,network,yes,no,north,legit
27.8,7,46,1,0,1,major,outside,yes,no,north,legit
20.35,4,44,0,2,4,minor,network,yes,no,north,legit
14.98,3,116,1,1,9,moderate,network,yes,yes,west,legit
0.8,5,72,1,14,3,moderate,network,yes,yes,south,legit
14.45,5,80,1,8,4,minor,network,yes,no,south,legit
19.46,8,56,1,7,2,minor,network,no,yes,west,legit
18.48,6,11,1,9,2,minor,network,no,no,west,legit
0.8,5,37,0,1,7,minor,outside,yes,no,north,legit
0.81,11,51,1,4,2,major,outside,yes,no,north,legit
10.79,5,95,0,13,1,minor,network,yes,no,south,legit
22.23,6,19,0,6,4,minor,network,yes,no,north,fraud
10.1,5,99,0,17,1,minor,outside,yes,no,north,fraud
8.3,8,99,0,2,3,minor,network,yes,no,south,legit
